,CPU Name,Platform Name,Single-core Score,Multi-core Score
0,AMD Ryzen 5 7520U 6734 MHz (4 cores),Linux,1373,3727
1,AMD Ryzen 5 7520U 6734 MHz (4 cores),Linux,1371,3742
2,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1319,4344
3,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1263,3582
4,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1291,2531
5,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1256,3697
6,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,706,2757
7,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1235,3558
8,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1292,3194
9,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1356,4034
10,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1157,3382
11,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,975,2727
12,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1296,3784
13,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1289,3695
14,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1359,4172
15,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,931,3129
16,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1373,4275
17,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,709,2647
18,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1385,4589
19,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,694,2621
20,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1404,4353
21,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,745,2512
22,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1375,4227
23,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,914,4138
24,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1333,3878
25,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1386,4497
26,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1384,4218
27,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,933,3312
28,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1023,3353
29,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1046,3268
30,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1354,4284
31,AMD Ryzen 5 7520U 6734 MHz (4 cores),Linux,1241,2555
32,AMD Ryzen 5 7520U 6734 MHz (4 cores),Linux,1328,2714
33,AMD Ryzen 5 7520U 6734 MHz (4 cores),Linux,1347,4261
34,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1310,3715
35,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1314,4332
36,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1294,3956
37,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1265,3956
38,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1347,4281
39,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1261,3657
40,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1333,4140
41,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1287,3551
42,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1053,3339
43,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1394,4342
44,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1351,3984
45,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1295,3803
46,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1304,3633
47,AMD Ryzen 5 7520U 6734 MHz (4 cores),Linux,1365,2176
48,AMD Ryzen 5 7520U 6734 MHz (4 cores),Linux,1350,2147
49,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1058,3301
50,AMD Ryzen 5 7520U 6734 MHz (4 cores),Linux,1351,3785
51,AMD Ryzen 5 7520U 6734 MHz (4 cores),Linux,1210,2010
52,AMD Ryzen 5 7520U 6734 MHz (4 cores),Linux,1236,1979
53,AMD Ryzen 5 7520U 6734 MHz (4 cores),Linux,1215,2548
54,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1349,4251
55,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1346,4228
56,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1161,3930
57,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1098,3406
58,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1099,3394
59,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1178,3984
60,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1309,3561
61,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1336,3628
62,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1337,3610
63,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1071,3365
64,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1368,3235
65,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1379,4280
66,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1031,3263
67,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1258,3541
68,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,911,3519
69,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1290,3830
70,AMD Ryzen 5 7520U 2801 MHz (4 cores),Windows,1371,4310
71,AMD Ryzen 5 7520U 6734 MHz (4 cores),Linux,1364,3633
