,CPU Name,Platform Name,Single-core Score,Multi-core Score,quarry
0,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2116,10129,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
1,AMD Ryzen 7 PRO 7840HS 3801 MHz (8 cores),Windows,2311,11656,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
2,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2576,12662,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
3,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2414,10761,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
4,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2524,12349,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
5,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,1942,7307,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
6,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2613,11155,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
7,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2596,10981,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
8,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2599,10989,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
9,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2556,11868,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
10,AMD Ryzen 7 PRO 7840HS 3801 MHz (8 cores),Windows,2316,11974,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
11,AMD Ryzen 7 7840HS 5137 MHz (8 cores),Linux,1936,4776,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
12,AMD Ryzen 7 7840HS 5137 MHz (8 cores),Linux,2017,4864,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
13,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,1662,8937,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
14,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2578,12820,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
15,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2604,12871,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
16,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2498,12737,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
17,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,1944,7824,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
18,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,1248,6413,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
19,AMD Ryzen 7 PRO 7840HS 3801 MHz (8 cores),Windows,2549,12525,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
20,AMD Ryzen 7 PRO 7840HS 5137 MHz (8 cores),Linux,2347,12221,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
21,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2318,11418,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
22,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2403,11503,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
23,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2464,11559,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
24,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,1897,7431,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
25,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2690,12027,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
26,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2489,12799,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
27,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2357,10590,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
28,AMD Ryzen 7 PRO 7840HS 3801 MHz (8 cores),Windows,2498,10130,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
29,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,1749,8622,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
30,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,1762,8286,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
31,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2523,12862,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
32,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2236,7152,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
33,AMD Ryzen 7 PRO 7840HS 3801 MHz (8 cores),Windows,1827,8239,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
34,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2668,11917,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
35,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2353,10533,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
36,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2443,11295,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
37,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2481,12893,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
38,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2456,10959,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
39,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2380,10526,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
40,AMD Ryzen 7 PRO 7840HS 3801 MHz (8 cores),Windows,2456,12377,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
41,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,1519,8572,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
42,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2627,11996,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
43,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2350,10363,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
44,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2326,10683,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
45,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2416,11268,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
46,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2417,11235,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
47,AMD Ryzen 7 PRO 7840HS 3801 MHz (8 cores),Windows,2178,9474,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
48,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2581,11502,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
49,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2556,11978,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
50,AMD Ryzen 7 PRO 7840HS 3801 MHz (8 cores),Windows,2114,8667,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
51,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2464,10543,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
52,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2612,11756,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
53,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2586,11767,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
54,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,1891,7627,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
55,AMD Ryzen 7 PRO 7840HS 3801 MHz (8 cores),Windows,2449,11897,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
56,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2655,11540,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
57,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2655,11485,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
58,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2605,11720,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
59,AMD Ryzen 7 PRO 7840HS 3801 MHz (8 cores),Windows,2594,12909,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
60,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,1751,9181,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
61,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2489,12808,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
62,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2284,10550,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
63,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,1189,6953,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
64,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2306,10189,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
65,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2326,10826,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
66,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,1708,7097,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
67,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2331,10771,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
68,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2234,11580,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
69,AMD Ryzen 7 PRO 7840HS 5137 MHz (8 cores),Linux,2592,12683,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
70,AMD Ryzen 7 PRO 7840HS 5137 MHz (8 cores),Linux,2469,12321,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
71,AMD Ryzen 7 PRO 7840HS 5137 MHz (8 cores),Linux,2596,12511,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
72,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2087,12009,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
73,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2694,12239,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
74,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2500,12749,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
75,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,1930,7443,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
76,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2410,11973,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
77,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,2419,12023,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
78,AMD Ryzen 7 7840HS 3801 MHz (8 cores),Windows,1925,7955,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
79,AMD Ryzen 7 PRO 7840HS 3801 MHz (8 cores),Windows,1939,10329,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
80,AMD Ryzen 7 PRO 7840HS 5137 MHz (8 cores),Linux,2427,9641,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
81,AMD Ryzen 7 PRO 7840HS 5137 MHz (8 cores),Linux,2467,10429,https://browser.geekbench.com/search?q=HP+AMD+Ryzen+7+7840HS+
